name,value,year,lastValue,rank
Google,107439,2014,106024.2,2
Coca-Cola,77839,2012,77241.2,1
Microsoft,70196,2000,70196,2
Coca-Cola,67000,2006,67052.5,1
Microsoft,61372,2004,61752.2,2
Microsoft,58709,2007,58530.7,2
Toyota,53404,2018,53092.7,7
Amazon,50338,2016,49099,8
IBM,46829,2017,47396.1,10
McDonald's,43417,2018,43228.6,10
McDonald's,42254,2014,42227.8,9
McDonald's,39809,2015,40053.5,9
BMW,37212,2015,36912.2,11
Intel,34665,2001,35103.3,5
Samsung,32893,2012,31946.7,9
Cisco,31930,2017,31831.8,16
Intel,30861,2002,31241.4,5
Disney,29251,2008,29246.9,8
Disney,28036,2003,28158,6
Toyota,27941,2006,27630.6,6
McDonald's,27859,2000,27859,8
Disney,27848,2006,27707.3,7
Toyota,27764,2011,27606.8,11
McDonald's,27501,2006,27352.3,8
Oracle,27466,2017,27374.6,17
Mercedes-Benz,27445,2011,27218.4,12
Disney,27438,2012,27596,13
Oracle,27283,2015,27152.7,16
Cisco,27197,2012,27008.2,14
Disney,27113,2004,27205.3,6
Nike,27021,2017,26822.3,18
HP,26867,2010,26589.9,9
Oracle,26552,2016,26625.1,17
Disney,26441,2005,26508.2,6
McDonald's,26375,2002,26266.4,7
Toyota,26192,2010,26705.8,10
Oracle,26133,2018,26266.3,19
HP,26087,2012,26326.2,15
McDonald's,26014,2005,25912.7,7
Oracle,25980,2014,25790.8,16
HP,25843,2013,25867.4,15
Google,25590,2008,24814.7,9
Mercedes-Benz,25577,2008,25376.1,10
Cisco,25309,2011,25100,13
McDonald's,25289,2001,25546,8
Mercedes-Benz,25179,2010,25047.8,11
Gillette,25105,2013,25084.3,16
Nike,25034,2016,24837.6,18
McDonald's,25001,2004,24970.8,7
Gillette,24898,2012,24807.9,16
Louis Vuitton,24893,2013,24761.4,17
Toyota,24837,2005,24620.6,8
McDonald's,24699,2003,24866.6,7
BMW,24554,2011,24330.8,14
HP,24096,2009,24037.3,10
Oracle,24088,2013,23891.8,18
Louis Vuitton,23998,2016,23823.2,19
Gillette,23997,2011,23927.1,15
Mercedes-Benz,23867,2009,24038,11
HP,23758,2014,23966.5,17
Honda,23682,2018,23583.4,20
Amazon,23620,2013,23120.5,19
Louis Vuitton,23577,2012,23536.5,17
Mercedes-Benz,23568,2007,23390.7,9
HP,23509,2008,23377.8,11
Citi,23442,2007,23243.6,10
Samsung,23430,2011,23036.1,16
BMW,23298,2008,23129.4,12
Gillette,23298,2010,23252.3,12
Cisco,23219,2010,23100.1,13
Louis Vuitton,23172,2011,23040.8,17
Nike,23070,2015,22750.5,17
HP,23056,2015,23126.2,18
Honda,22975,2015,22844.8,19
Louis Vuitton,22919,2017,23026.9,19
SAP,22885,2018,22860,21
Gillette,22845,2014,23071,18
Gillette,22841,2009,22825.8,12
